"Prioritization","contact_tracing_frac","replication","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"Inc. emp.",0.5,"2 m119-inc_rank_emp-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3980,194,4159,427,3732
"Old",0,"2 m12-old-0-individuals-weight-0.8-ill_symptomatic-10-0.0",45734,1750,0,0,0
"Inc. sim.",0,"2 m120-inc_rank_sim-0-individuals-weight-0.8-ill_symptomatic-10-0.0",54568,2173,0,0,0
"Inc. sim.",0.1,"2 m121-inc_rank_sim-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",31766,1324,9605,1135,8470
"Inc. sim.",0.2,"2 m122-inc_rank_sim-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",12160,451,9723,905,8818
"Inc. sim.",0.3,"2 m123-inc_rank_sim-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5693,241,6966,709,6257
"Inc. sim.",0.4,"2 m124-inc_rank_sim-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",4940,233,6236,650,5586
"Inc. sim.",0.5,"2 m125-inc_rank_sim-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3690,164,4041,419,3622
"Random",0,"2 m126-random-0-individuals-weight-0.8-ill_symptomatic-10-0.0",42788,1699,0,0,0
"Random",0.1,"2 m127-random-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",23847,943,11571,1277,10294
"Random",0.2,"2 m128-random-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",16108,607,14688,1597,13091
"Random",0.3,"2 m129-random-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",12795,503,15561,1673,13888
"Old",0.1,"2 m13-old-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",42967,1583,5412,895,4517
"Random",0.4,"2 m130-random-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",8501,320,11406,1243,10163
"Random",0.5,"2 m131-random-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",5978,250,8454,927,7527
"Age+HH",0,"2 m132-super-spreaders-0-individuals-weight-0.8-ill_symptomatic-10-0.0",56404,2167,0,0,0
"Age+HH",0.1,"2 m133-super-spreaders-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",20411,849,10541,991,9550
"Age+HH",0.2,"2 m134-super-spreaders-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",9318,405,9461,891,8570
"Age+HH",0.3,"2 m135-super-spreaders-0.3-individuals-weight-0.8-ill_symptomatic-10-0.0",5862,242,6430,616,5814
"Age+HH",0.4,"2 m136-super-spreaders-0.4-individuals-weight-0.8-ill_symptomatic-10-0.0",4601,196,5833,582,5251
"Age+HH",0.5,"2 m137-super-spreaders-0.5-individuals-weight-0.8-ill_symptomatic-10-0.0",3254,161,3615,369,3246
"Old",0,"2 m138-old-0-individuals-weight-0.8-ill_symptomatic-10-0.0",53697,1985,0,0,0
"Old",0.1,"2 m139-old-0.1-individuals-weight-0.8-ill_symptomatic-10-0.0",46368,1849,6776,1126,5650
"Old",0.2,"2 m14-old-0.2-individuals-weight-0.8-ill_symptomatic-10-0.0",44770,1606,13066,2052,11014
