"Prioritization","contact_tracing_frac","replication","inf_p_shift","contact_tracing_contact_selection_frac","n_days_contact_tracing_isolation","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"Inc. sim.",0.1,"m1163-inc_rank_sim-0.1-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,15994,667,4404,678,3726
"Inc. sim.",0.2,"m1190-inc_rank_sim-0.2-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,4972,215,3566,448,3118
"Inc. sim.",0.3,"m1217-inc_rank_sim-0.3-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,2012,84,2548,330,2218
"Inc. sim.",0.4,"m1244-inc_rank_sim-0.4-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,1570,72,1954,272,1682
"Inc. sim.",0.5,"m1271-inc_rank_sim-0.5-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,1063,45,1410,175,1235
"Random",0.5,"m137-random-0.5-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,2879,107,4288,609,3679
"Age+HH",0,"m164-super-spreaders-0-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,22758,896,0,0,0
"Age+HH",0.1,"m191-super-spreaders-0.1-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,11649,531,4602,572,4030
"Random",0,"m2-random-0-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,25469,994,0,0,0
"Age+HH",0.2,"m218-super-spreaders-0.2-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,4457,194,4215,519,3696
"Age+HH",0.3,"m245-super-spreaders-0.3-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,2197,111,2562,330,2232
"Age+HH",0.4,"m272-super-spreaders-0.4-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,1078,56,1276,165,1111
"Random",0.1,"m29-random-0.1-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,12952,505,4934,706,4228
"Age+HH",0.5,"m299-super-spreaders-0.5-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,996,34,1280,171,1109
"Old",0,"m326-old-0-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,20760,838,0,0,0
"Old",0.1,"m353-old-0.1-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,17685,684,2007,425,1582
"Old",0.2,"m380-old-0.2-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,15876,613,3759,780,2979
"Old",0.3,"m407-old-0.3-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,12564,445,6790,1220,5570
"Old",0.4,"m434-old-0.4-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,5134,179,4661,749,3912
"Old",0.5,"m461-old-0.5-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,2934,99,3930,593,3337
